line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
48,20250216_140426,PPP,PBPTBBBBBPBBPTPPPPBPPPPBBPPPBBPPPPBTB,16,9,6,1,178.5,,error: 'float' object is not subscriptable
49,20250216_152811,BBB,PPPPBPBPBBPPBPPBBBPPPPTPPPPBBPBPBPPP,26,16,9,1,412.0,,"only 1 cube value left, higher than 100 and in profit"
50,20250216_165246,BBB,PPPBBPBPPPPBPPBBBBTTPBBPPTPTBPP,25,7,14,4,-583.0,,all outcomes processed
51,20250216_172016,BBB,PPBPPPPBB,3,2,1,0,45.0,,all outcomes processed
52,20250216_183337,PPP,PBBBBBBBBPBBBBPBBTPPPBPPPBBBBPBPPBPPPPBPBBPPBPBPTPBPBBBB,19,12,6,1,307.0,,bad cadence detected - taking profit
53,20250216_184733,BBB,BTPPPBPBBPPPPBPTPBBBBPPBPBPBPBBPBBPPPPPP,34,12,21,1,-1055.0,,error: 'float' object is not subscriptable
54,20250216_185125,BBB,PPBPPPPBBPPBTPBTBP,12,5,5,2,25.0,,all outcomes processed
55,20250216_191435,BBB,BPPPPBPPTBPBBBBBPBBTPPBBBPPBPBBPBPBBBPPBPBTPBPBPPBBPBBPPBPBP,19,8,9,2,-12.5,,few cubes with bad streaks (2+ streaks)
56,20250216_211619,PPP,BBBTPPBTTBPBBTPBPTPBBBPPBPPBPPPPPPPPBBTPPPBPPTBPPPBBP,29,15,10,4,337.5,,error: 'float' object is not subscriptable
57,20250216_214341,BBB,PBPTPPPPPBPPPPBBBPPPPPBBPBPBTBPPBBBPPPPPPPPPBPPP,29,15,13,1,232.5,,error: 'float' object is not subscriptable
58,20250216_214722,PPP,BBPBBBBBPBBBBPBBB,11,9,2,0,300.0,,all outcomes processed
59,20250216_220115,BBB,PBBPPPPBPPTPPBBBPPPPBPBTPPPTP,23,12,8,3,267.5,,all outcomes processed
60,20250216_221059,BBB,PPPBPPPBBPPPBBBBBPPBPBBPBPPP,22,10,12,0,-74.5,,all outcomes processed
61,20250216_224410,PPP,BPBPBBBBBPBPBBPBBPPBPPPBTTTPPBPBPPBTPPBPPBBPPPPPPBBPBBBPTPPTPPBPBBBBBB,32,17,11,4,408.5,,"only 1 cube value left, higher than 100 and in profit"
62,20250216_225423,BBB,BPPPPPPBBPPPBPBBPPPTPPBBPP,20,12,7,1,305.0,,all outcomes processed
63,20250216_225812,PPP,BPBTPBBBBBPBPTBPT,11,6,3,2,146.0,,error: 'float' object is not subscriptable
64,20250217_102447,BBB,PBBPPPBBPBPBPBBBPBBPBBPBPPPTTBPPPPBPBP,18,10,8,0,150.0,,"contradicting bias (BBB mode, 66.7% banker wins)"
65,20250217_103635,BBB,PPBPPPBPTPTTPPBBBPPPBTBBBPBBBPBPBBB,18,5,9,4,-262.5,,few cubes with bad streaks (2+ streaks)
66,20250217_110502,BBB,PPBPBPBPPBBPTPPBPBPTBBPBPBPPPBBBBBPBPBBBTPBPPBBPBPBBPTPBTPB,34,14,18,2,-186.0,,few cubes with bad streaks (2+ streaks)
