line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
0,20250211_095412,BBB,PPPPBPBPBPTPBBBTTTBTPBBBPPBTPBTBPBTPBBBBBBPPPBTBPBBPPBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
1,20250211_102431,PPP,TBBPBBBBBPPBPBTBBPBTBBT,17,10,4,3,276.0,,error: 'float' object is not subscriptable
2,20250211_103635,PPP,BPBTBBPBBBBTPBB,9,6,2,1,176.0,,error: 'float' object is not subscriptable
3,20250211_105142,BBB,PPPBPBBPBPPBBPBPPPPP,14,7,7,0,54.5,,all outcomes processed
4,20250211_111541,PPP,BBBPBBTBBBBPBBPBTPPBBPPBBPPBBPPBBPPBBPBB,34,16,16,2,-85.0,,all outcomes processed
5,20250211_114547,PPP,BBBBBPPPBTPPPBBBBBPBBPBBTBPBTTTPBPPPBPBPPPPBTPBBPTPPPPPBBBBPBBPBP,7,3,3,1,17.5,,few cubes with bad streaks (2+ streaks)
6,20250211_121900,BBB,PPPPBPBBPPPBTPBBBBBBPBPPBBBPPPBBPBBBBPBBBBBPB,21,11,9,1,162.5,,few cubes with bad streaks (2+ streaks)
7,20250211_133412,BBB,BPPPBPPBBPBPPPBTPBPPBBTBPBPPPBBTPTBPPBTBBBPTPBBBBBPPBBTBB,35,13,17,5,-323.0,,few cubes with bad streaks (2+ streaks)
8,20250211_134901,BBB,PBBBPBPTPBPPPPBBPBBBPBBTTBBPBPPBPBPP,14,6,7,1,-26.5,,few cubes with bad streaks (2+ streaks)
9,20250211_141512,BBB,PBBPPPPPPBBBPBBBPBPPPTPBPBPTBBPBPBBPPBPPPTPBPTPPBPBBTTBBBB,10,4,6,0,-80.0,,few cubes with bad streaks (2+ streaks)
10,20250211_143652,BBB,PBBPPPPPPBPBBPPBBPBPPBPPBPPBBPBBPBPPBPBBTBBBPPBPP,43,16,26,1,-1156.5,,all outcomes processed
11,20250211_144806,BBB,PPPBPPBPPBPTPBBBBBBBBPBBB,18,10,7,1,195.5,,"contradicting bias (BBB mode, 70.6% banker wins)"
12,20250211_153358,PPP,PBBBBBPBBBPBPBTBTBBB,14,9,3,2,269.0,,all outcomes processed
13,20250211_154059,BBB,BBPPPPBBBPBPPPTPBPPBPTPPP,19,12,5,2,343.0,,all outcomes processed
14,20250211_160003,BBB,BBPPPPBPBBPBPBPBPBBBBBPBBPBTBPBPPBPBPPPPBPPBPP,23,12,10,1,172.5,,"contradicting bias (BBB mode, 68.2% banker wins)"
15,20250211_162053,PPP,PBBBTBBBBBTBPPPPPPBPPPTBTPPPB,16,10,5,1,259.0,,error: 'float' object is not subscriptable
16,20250211_164357,PPP,TPBBBBPBBBPBBBPBPPPPBBPPPBBPBPPBPBPBPTBBBBPBPBB,19,10,9,0,63.5,,error: 'float' object is not subscriptable
17,20250211_175224,BBB,BPPPPPPPTTBBBBPBBBTBBPTBPPBPTBPBBPPBPPBBTBBP,12,5,5,2,24.0,,few cubes with bad streaks (2+ streaks)
18,20250211_202615,PPP,BPBBBBTBBBPPBBPBPPPBBTPTPTBBBTPBBBPBPBPPPPBBBTPPPBBPPBPBBB,35,12,18,5,-591.5,,few cubes with bad streaks (2+ streaks)
19,20250211_203914,PPP,PPBBBBPBPBBPPPTBPBPBPBTPPPPBPBPPP,20,6,12,2,-478.0,,few cubes with bad streaks (2+ streaks)
20,20250211_205042,BBB,PPPPTPBPPTBPPPPP,10,7,2,1,234.0,,error: 'float' object is not subscriptable
21,20250211_205904,BBB,PPPBBPBBPBPTPPPPP,11,8,2,1,272.5,,all outcomes processed
22,20250211_211504,BBB,BTPBPPPBPBPBBPBBPTBPPPBPBTBPBBPPPBPBTPPP,34,14,17,3,-78.0,,error: 'float' object is not subscriptable
23,20250212_192837,BBB,PPPPBPBBBBBBBBBBBBBBBPPTBBBPPPPBBPPTPP,5,5,0,0,209.0,,first 5 games all wins
24,20250212_195033,PPP,BBPBBBPPPBPBTBBPBBBPBBTBPPBPPBBPPBBPBBPBPPBBPPPPPPTP,41,17,22,2,-430.5,,few cubes with bad streaks (2+ streaks)
25,20250212_195141,BBB,PPPBPBPBB,3,2,1,0,45.0,,all outcomes processed
26,20250212_195850,BBB,PPPBPBPBBPBBBBPBPPTPPBPPP,19,10,8,1,153.0,,all outcomes processed
27,20250212_201556,PPP,BBPBBBTBBBPPBBPBPTBTBBPPPBPPPPBPBP,23,12,8,3,235.0,,few cubes with bad streaks (2+ streaks)
28,20250212_203801,PPP,BBBBPPBPPPBPPBPBBBPBTPBBBBPPBTPBPPTPPPPBBTBBBPBBTTB,30,12,15,3,-136.0,,few cubes with bad streaks (2+ streaks)
29,20250212_205027,BBB,PPPBBPBPBTPBPBPBBTPBPPPPPBBPTTBPPPP,29,11,14,4,-115.5,,all outcomes processed
30,20250214_193310,BBB,PBBTPPPPBPTBBPPPPPPBPP,16,9,6,1,197.5,,error: 'float' object is not subscriptable
31,20250214_193715,PPP,BBBTBBPTBBBBBTBBBBB,13,10,1,2,339.5,,error: 'float' object is not subscriptable
32,20250214_195225,PPP,BBBPBBBBPTPPBBBBPTBPBBBPPTTPPBPBPBBPTBB,22,10,8,4,114.0,,few cubes with bad streaks (2+ streaks)
33,20250214_195553,BBB,PPPPTBPPBBPTPPPPP,11,8,2,1,264.5,,error: 'float' object is not subscriptable
34,20250214_201235,BBB,TPPPPBPBBBPPPPBPPPBBBTBBBPTBBBPBBBTPBPPPBPP,15,10,5,0,212.5,,error: 'float' object is not subscriptable
35,20250214_202149,BBB,PBPPPPBBTTBPBPPBPBBPPBPPPBBPTPP,25,13,9,3,279.5,,all outcomes processed
36,20250214_202555,BBB,TBBPPPPBBPTPBT,8,3,3,2,5.0,,error: 'float' object is not subscriptable
37,20250214_205531,PPP,PBBBPBPPPBBPBBBPPBTTBPTPPBPBPPPBBBPPPPPBBBTBPPPBTPTBTBBBBTBBBBTBBPBB,19,6,10,3,-199.5,,few cubes with bad streaks (2+ streaks)
38,20250214_210224,BBB,BPPPPPBBTPBPPT,8,5,1,2,182.5,,all outcomes processed
39,20250214_211148,BBB,PBPPPBBBBTBBPBPBBBBTBBPPB,11,8,2,1,262.0,,"contradicting bias (BBB mode, 80.0% banker wins)"
40,20250214_214521,BBB,BPPPPBPPPPBBBPBPPBPPPPBBBPBPPBPPBPPBBBPBBPBBBTPPPPBBBPBTTTPBPTPPTBPTPP,19,6,13,0,-360,,few cubes with bad streaks (2+ streaks)
41,20250214_220012,BBB,PBPPPPPBPPPPPBBPBPBPPBPP,18,10,8,0,167.5,,all outcomes processed
42,20250214_220555,BBB,BPPPPBPBPPBPTBPBTTP,13,4,6,3,-82.5,,all outcomes processed
43,20250214_221001,PPP,BBBBPBPBBPBBBB,8,6,2,0,175.5,,all outcomes processed
44,20250214_221923,PPP,PBBBBPPBTPBPBBTBBBB,13,8,3,2,230.0,,all outcomes processed
45,20250215_222545,PPP,BBBPBTPPPBBPBBPBBBPPPBPBBPBBBTBBPPPBBBTPBBTPPBPTTPPPPBBBPBPBPBBPPBPBBP,15,3,12,0,-724.0,,error: 'float' object is not subscriptable
46,20250215_225513,PPP,BBTBPPBBPBBBPBBPBPBBBPTPBBBBPPBBPTPBBPPBBB,22,15,6,1,405.0,,error: 'float' object is not subscriptable
47,20250216_134602,BBB,PPPBTPPPBBBBBBBPPPBPPBPBBPPBPTBBPBBPPPPPPBTBBBBBBPBPTPBBPBPBPPTBTPP,39,16,21,2,-336.5,,error: 'float' object is not subscriptable
