line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
0,20250211_095412,BBB,PPPPBPBPBPTPBBBTTTBTPBBBPPBTPBTBPBTPBBBBBBPPPBTBPBBPPBPP,34,14,12,8,205.0,,"decent profit with many bad streaks (150+, 3 streaks)"
1,20250211_102431,PPP,TBBPBBBBBPPBPBTBBPBTBBT,17,10,4,3,276.0,,error: 'float' object is not subscriptable
2,20250211_103635,PPP,BPBTBBPBBBBTPBB,9,6,2,1,176.0,,error: 'float' object is not subscriptable
3,20250211_105142,BBB,PPPBPBBPBPPBBPBPPPPP,14,7,7,0,54.5,,all outcomes processed
4,20250211_111541,PPP,BBBPBBTBBBBPBBPBTPPBBPPBBPPBBPPBBPPBBPBB,34,16,16,2,-85.0,,all outcomes processed
5,20250211_114547,PPP,BBBBBPPPBTPPPBBBBBPBBPBBTBPBTTTPBPPPBPBPPPPBTPBBPTPPPPPBBBBPBBPBP,40,17,17,6,158.0,,"decent profit with many bad streaks (150+, 3 streaks)"
6,20250211_121900,BBB,PPPPBPBBPPPBTPBBBBBBPBPPBBBPPPBBPBBBBPBBBBBPB,21,11,9,1,169.0,,"contradicting bias (BBB mode, 65.0% banker wins)"
7,20250211_133412,BBB,BPPPBPPBBPBPPPBTPBPPBBTBPBPPPBBTPTBPPBTBBBPTPBBBBBPPBBTBB,50,21,22,7,146.0,,few cubes with bad streaks (2+ streaks)
8,20250211_134901,BBB,PBBBPBPTPBPPPPBBPBBBPBBTTBBPBPPBPBPP,21,10,8,3,150.5,,"decent profit with many bad streaks (150+, 3 streaks)"
9,20250211_141512,BBB,PBBPPPPPPBBBPBBBPBPPPTPBPBPTBBPBPBBPPBPPPTPBPTPPBPBBTTBBBB,52,20,26,6,-136.5,,all outcomes processed
10,20250211_143652,BBB,PBBPPPPPPBPBBPPBBPBPPBPPBPPBBPBBPBPPBPBBTBBBPPBPP,43,16,26,1,-1156.5,,all outcomes processed
11,20250211_144806,BBB,PPPBPPBPPBPTPBBBBBBBBPBBB,18,10,7,1,195.5,,"contradicting bias (BBB mode, 70.6% banker wins)"
12,20250211_153358,PPP,PBBBBBPBBBPBPBTBTBBB,14,9,3,2,269.0,,all outcomes processed
13,20250211_154059,BBB,BBPPPPBBBPBPPPTPBPPBPTPPP,19,12,5,2,343.0,,all outcomes processed
14,20250211_160003,BBB,BBPPPPBPBBPBPBPBPBBBBBPBBPBTBPBPPBPBPPPPBPPBPP,23,12,10,1,172.5,,"contradicting bias (BBB mode, 68.2% banker wins)"
15,20250211_162053,PPP,PBBBTBBBBBTBPPPPPPBPPPTBTPPPB,16,10,5,1,259.0,,error: 'float' object is not subscriptable
16,20250211_164357,PPP,TPBBBBPBBBPBBBPBPPPPBBPPPBBPBPPBPBPBPTBBBBPBPBB,41,18,22,1,-392.0,,error: 'float' object is not subscriptable
17,20250211_175224,BBB,BPPPPPPPTTBBBBPBBBTBBPTBPPBPTBPBBPPBPPBBTBBP,38,14,18,6,-362.0,,all outcomes processed
18,20250211_202615,PPP,BPBBBBTBBBPPBBPBPPPBBTPTPTBBBTPBBBPBPBPPPPBBBTPPPBBPPBPBBB,52,16,30,6,-2449.0,,all outcomes processed
19,20250211_203914,PPP,PPBBBBPBPBBPPPTBPBPBPBTPPPPBPBPPP,27,11,14,2,-38.0,,all outcomes processed
20,20250211_205042,BBB,PPPPTPBPPTBPPPPP,10,7,2,1,234.0,,error: 'float' object is not subscriptable
21,20250211_205904,BBB,PPPBBPBBPBPTPPPPP,11,8,2,1,272.5,,all outcomes processed
22,20250211_211504,BBB,BTPBPPPBPBPBBPBBPTBPPPBPBTBPBBPPPBPBTPPP,34,14,17,3,-78.0,,error: 'float' object is not subscriptable
23,20250212_192837,BBB,PPPPBPBBBBBBBBBBBBBBBPPTBBBPPPPBBPPTPP,5,5,0,0,209.0,,first 5 games all wins
24,20250212_195033,PPP,BBPBBBPPPBPBTBBPBBBPBBTBPPBPPBBPPBBPBBPBPPBBPPPPPPTP,46,21,22,3,179.5,,few cubes with bad streaks (2+ streaks)
25,20250212_195141,BBB,PPPBPBPBB,3,2,1,0,45.0,,all outcomes processed
