line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
26,20250212_195850,BBB,PPPBPBPBBPBBBBPBPPTPPBPPP,19,10,8,1,153.0,,all outcomes processed
27,20250212_201556,PPP,BBPBBBTBBBPPBBPBPTBTBBPPPBPPPPBPBP,28,15,10,3,335.0,,all outcomes processed
28,20250212_203801,PPP,BBBBPPBPPPBPPBPBBBPBTPBBBBPPBTPBPPTPPPPBBTBBBPBBTTB,45,20,19,6,278.5,,all outcomes processed
29,20250212_205027,BBB,PPPBBPBPBTPBPBPBBTPBPPPPPBBPTTBPPPP,29,12,13,4,49.0,,all outcomes processed
30,20250214_193310,BBB,PBBTPPPPBPTBBPPPPPPBPP,16,9,6,1,197.5,,all outcomes processed
31,20250214_193715,PPP,BBBTBBPTBBBBBTBBBBB,13,10,1,2,339.5,,all outcomes processed
32,20250214_195225,PPP,BBBPBBBBPTPPBBBBPTBPBBBPPTTPPBPBPBBPTBB,33,14,14,5,2.5,,all outcomes processed
33,20250214_195553,BBB,PPPPTBPPBBPTPPPPP,11,8,2,1,264.5,,all outcomes processed
34,20250214_201235,BBB,TPPPPBPBBBPPPPBPPPBBBTBBBPTBBBPBBBTPBPPPBPP,24,15,7,2,406.0,,nameless built-in line end
35,20250214_202149,BBB,PBPPPPBBTTBPBPPBPBBPPBPPPBBPTPP,25,13,9,3,279.5,,all outcomes processed
36,20250214_202555,BBB,TBBPPPPBBPTPBT,8,3,3,2,5.0,,all outcomes processed
37,20250214_205531,PPP,PBBBPBPPPBBPBBBPPBTTBPTPPBPBPPPBBBPPPPPBBBTBPPPBTPTBTBBBBTBBBBTBBPBB,56,24,24,8,356.0,,nameless built-in line end
38,20250214_210224,BBB,BPPPPPBBTPBPPT,8,5,1,2,182.5,,all outcomes processed
39,20250214_211148,BBB,PBPPPBBBBTBBPBPBBBBTBBPPB,16,12,2,2,385.5,,"only 1 cube value left, lower than 20"
40,20250214_214521,BBB,BPPPPBPPPPBBBPBPPBPPPPBBBPBPPBPPBPPBBBPBBPBBBTPPPPBBBPBTTTPBPTPPTBPTPP,64,22,35,7,-1203.0,,all outcomes processed
41,20250214_220012,BBB,PBPPPPPBPPPPPBBPBPBPPBPP,18,10,8,0,167.5,,all outcomes processed
42,20250214_220555,BBB,BPPPPBPBPPBPTBPBTTP,13,4,6,3,-82.5,,all outcomes processed
43,20250214_221001,PPP,BBBBPBPBBPBBBB,8,6,2,0,175.5,,all outcomes processed
44,20250214_221923,PPP,PBBBBPPBTPBPBBTBBBB,13,8,3,2,230.0,,all outcomes processed
45,20250215_222545,PPP,BBBPBTPPPBBPBBPBBBPPPBPBBPBBBTBBPPPBBBTPBBTPPBPTTPPPPBBBPBPBPBBPPBPBBP,13,3,10,0,-494.0,,"only 1 cube value left, lower than 20"
46,20250215_225513,PPP,BBTBPPBBPBBBPBBPBPBBBPTPBBBBPPBBPTPBBPPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
47,20250216_134602,BBB,PPPBTPPPBBBBBBBPPPBPPBPBBPPBPTBBPBBPPPPPPBTBBBBBBPBPTPBBPBPBPPTBTPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
48,20250216_140426,PPP,PBPTBBBBBPBBPTPPPPBPPPPBBPPPBBPPPPBTB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
49,20250216_152811,BBB,PPPPBPBPBBPPBPPBBBPPPPTPPPPBBPBPBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
50,20250216_165246,BBB,PPPBBPBPPPPBPPBBBBTTPBBPPTPTBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
51,20250216_172016,BBB,PPBPPPPBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
52,20250216_183337,PPP,PBBBBBBBBPBBBBPBBTPPPBPPPBBBBPBPPBPPPPBPBBPPBPBPTPBPBBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
53,20250216_184733,BBB,BTPPPBPBBPPPPBPTPBBBBPPBPBPBPBBPBBPPPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
54,20250216_185125,BBB,PPBPPPPBBPPBTPBTBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
55,20250216_191435,BBB,BPPPPBPPTBPBBBBBPBBTPPBBBPPBPBBPBPBBBPPBPBTPBPBPPBBPBBPPBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
56,20250216_211619,PPP,BBBTPPBTTBPBBTPBPTPBBBPPBPPBPPPPPPPPBBTPPPBPPTBPPPBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
57,20250216_214341,BBB,PBPTPPPPPBPPPPBBBPPPPPBBPBPBTBPPBBBPPPPPPPPPBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
58,20250216_214722,PPP,BBPBBBBBPBBBBPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
59,20250216_220115,BBB,PBBPPPPBPPTPPBBBPPPPBPBTPPPTP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
60,20250216_221059,BBB,PPPBPPPBBPPPBBBBBPPBPBBPBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
61,20250216_224410,PPP,BPBPBBBBBPBPBBPBBPPBPPPBTTTPPBPBPPBTPPBPPBBPPPPPPBBPBBBPTPPTPPBPBBBBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
62,20250216_225423,BBB,BPPPPPPBBPPPBPBBPPPTPPBBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
63,20250216_225812,PPP,BPBTPBBBBBPBPTBPT,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
64,20250217_102447,BBB,PBBPPPBBPBPBPBBBPBBPBBPBPPPTTBPPPPBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
65,20250217_103635,BBB,PPBPPPBPTPTTPPBBBPPPBTBBBPBBBPBPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
66,20250217_110502,BBB,PPBPBPBPPBBPTPPBPBPTBBPBPBPPPBBBBBPBPBBBTPBPPBBPBPBBPTPBTPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
67,20250217_113145,BBB,PPPTBPPBPPBBBPPBPPBPPBBPBPBTBPPBBBPPBBTTBBPPBPTBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
68,20250217_113739,PPP,BBBTPBPPBPPBTBBPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
69,20250217_114059,PPP,BPTBBPBTBPTBBBBBPTT,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
70,20250217_120853,BBB,BPPPBPPBTBBBBBBTBPPPPTPPPBPPBBBBBBPPPBBBPBPBPBBPPBPBPBBBBPPPPTTPBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
71,20250217_122607,BBB,BPPPPBBTBPBBBTBPPBPTBBBPTPBPPBBBBPBBBBBPBBBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
72,20250217_125446,PPP,BBBBPBTPBBBBBPPPBPBPBBBPBBTTBPBPPPPPPPPBPPBPBPBBBPBPBPPBBBBTBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
73,20250217_130019,BBB,PPTPPPBBTPTTPBTBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
74,20250217_130628,BBB,PPPPBPBPBPBPTPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
75,20250217_133507,BBB,PPPBBPTTPBBTBPBBTBPPBPPBBBPPBPPBBPPPTPPBTTBBBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
76,20250217_135734,BBB,BPPPPBBBPPPBBBPBPTBPPBPPBTBBPBBBBBBBBBPPBPPTBPBPBTPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
77,20250217_140749,BBB,PPPTPBBBBPBTBBPPPPPPPBTPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
78,20250217_165819,BBB,BPPPPTPBPBBBTBBBTP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
79,20250217_172013,BBB,PPTPPPBBBTBBPPPBTPPBBBBBBBBBBBBBBBBBPBPPBPPPPBPTBBPBPBPBPBBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
80,20250217_172503,BBB,BPPPPBBPBPPPBBPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
81,20250217_173459,BBB,PBPPPPBBBPBPPBPBPBBBBBPPBTBBBPTP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
82,20250217_175408,PPP,BBBBPBPBPPBPBPTBBBTBPPPBBBPBPBBPTPBBBBTBBPBPBPBBTPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
83,20250217_191558,BBB,BBPPPPPBBPBTPPBPPPPTBBTPBBBBBBPPPPBPPBTPBBBBPPPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
84,20250217_192812,BBB,PPBPPPPBTBPBBBBPBPBPTP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
85,20250217_193953,BBB,BPPPBTPTPTPPBBPBPPPBPPPBPBBBBPPPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
86,20250217_195007,PPP,PBBBBPBPTBPBT,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
87,20250217_195659,PPP,PBBBBBBBPPBBBBBPBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
88,20250217_200318,PPP,PPBBBBPPBPPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
89,20250217_202052,BBB,PBBPPPBBPPBPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
90,20250217_202512,BBB,PBPTBPPBPPBTBTP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
91,20250217_205417,BBB,PBPPPPTTBPTPBPBTPBPBTBBPTPTBBBPBBTBPBBBPPTBPBBBBPPBPBPPPBPPBBTB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
92,20250217_222115,BBB,BPBPPPBPBPPPBBBPBBTBBBBTBBPBBPBPTTPBTBBPBPBPPBBBPPBBBBPBBPPTPPPBBBBBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
93,20250219_213226,PPP,BBPBBBTTPPBBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
94,20250219_214449,PPP,BBBBPBBBPPBPPPBPBPPPTPBPTBPPBPPBBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
95,20250221_212858,BBB,TPPPPBPBPBBBBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
96,20250221_222830,BBB,BPPPBPBPTBBBBPPBPBBPTBPPPBPBPBPBTBPPPBBBPPBBBPPPPBPPTBPPBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
97,20250221_223913,BBB,PBPPPPPBTBTBBPBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
98,20250221_224900,BBB,PBPTBPPTBPPPBTPPTPPPPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
99,20250221_230623,PPP,PPBBBBBBBBBPPPPBPBPBBPBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
100,20250221_233302,BBB,BPPPPBPBBBBPPBPBBBPPPPBPBPBBPPBBPTBPPBPPPTBPPBBPBPBBPBTBPPBPBBTBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
101,20250221_234727,BBB,PBPPPTPPBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBPPBBBPBBPPPBBTBBPPPBBTBBBBPPTBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
102,20250222_001237,PPP,BPBBPBBPBPBPBBBPBBTPTPBBPPBPTBBPBPTBBPBPBPPPBBBBTTBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
103,20250222_003930,BBB,PBBTPPPPPPBTPBBPBPPPBPPBBTBBPTBBBTPPBPBPBBBPBTPPPBPPBBBBBBBBBBBPBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
104,20250222_102553,PPP,PBBBPBBBPBBBPPPBTPBPBTBPTBPPPPBPBBPBPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
105,20250222_110103,BBB,BPBPPPBPBBBTBPBBBBPBBPBTBTPPPPTPBBBPBBBTTPPBBBPBPPBPPBBBBPPBPBPBBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
106,20250222_113949,PPP,BBPBBBPTPBPPPPPBBPTPBPBTPTBBTBBPPBBPBBBPBPPTBTPBPPPBPBPBPPPBBPPBPPPT,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
107,20250223_195811,PPP,BPBBB,0,0,0,0,0,,all outcomes processed
108,20250224_081751,PPP,BBPBPBBBPPTPBBBPPPPBTBBPPPTPBBBBBTTPBBBBPPBTPBTBBBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
109,20250224_082609,PPP,PBBBBBBPTPPPPPBPPPTPPBPPBBBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
110,20250224_084003,PPP,PBPBBBPPBPPTBPPTBBBPBPPBBBPPBBTBPPBBBPBBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
111,20250224_090928,BBB,PPPBPBBTBPTBPPPBPBTBTBPBBPBTPBPBPBPPBPBBTPPBPBBPBPBPTPPBBTBPPTBPTBPBPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
112,20250224_092118,PPP,BBPTBBBPBPPPBBBPBBBBPBPBPBBBPPBBBBTBB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
113,20250224_094318,PPP,PBBBBPBTPBPPPBBBBBPBBPTPBBBPPTTBPTPBPTPPPPPBPBPPBPPBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
114,20250224_101019,PPP,PBPBBBBBBPPPPBBBBBBPPBPBTPPBPTPPBBTPBBPPPBPBPBPBPBPPPPPBPBBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
115,20250224_103431,BBB,PPBPBPPBPPBPPTBBBBPPBPBPPPBPBPTPPBBTPPPTBPBBBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
116,20250224_105717,PPP,BBBBPBBBBPPPPBPPBTBBPTPPBTPBPPTBBBBBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
117,20250224_110619,BBB,PPPPPBBPPBTPPBPPPPPPPPBPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
118,20250224_112406,BBB,BPBPTPPTBTTBBBPPPBBBPBPPBPTBPPPPTPBPBBBBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
119,20250224_114145,BBB,PPPBBPBPBPPPPBPPPTPTBBBPPPBBPPPBBPBPBBBBBBBBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
120,20250224_121625,PPP,BBBPPBBPPPBBBPBBTBPPBBBBPTPBPBBPPBPPTPBPBPPPBPPBBPPTPBBBBBPBPBPPPBPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
121,20250224_142929,BBB,PPBPPPPBBPPPBBPBPPBTBPPPPBPPBBBBTPBBBBBBBTBPTPPPPBBBPPBBPPPB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
122,20250224_143330,BBB,BPPPPBPBPPPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
123,20250224_145301,BBB,BPPPPPPPTBBBBPTTTBBPBPBPBPBPTPPTBPTPBBBPPBBPPBBBBTB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
124,20250224_153139,BBB,PTPPPBPBPBPPBPBTBBPPPBPBPTBTPPBBBPTPPPPBBPBTPBPBPPPBPBPBBPBBBBBPBPPTBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
125,20250224_155441,BBB,BBPPPPBPBTPPPTTBPPBBPPBTPPBBTBPBPTPBPBPPBPBBBBPBBBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
126,20250224_161341,PPP,BTBPBBBPTPBPBPBBBBPPBPBBBBBPBTBPPPPBBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
127,20250224_162917,BBB,BPPPBPPBBBPPBPBPBPBPBBBBPBBBPPPBBBBBBPBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
128,20250224_165140,BBB,PPPBPBPPBBBPBPTBBPPPTBPBBPPBPBBTBPPPTBPBBPBPPBPPPBPPP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
129,20250224_171009,PPP,PBBBBPPPPPBBBBBBBPTBPTTTPBBPBPBBBBTPBPPBBPPBPTB,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
130,20250224_174439,PPP,PBPBBBPBPBBPTBBBPTBBPBPTBPPPBBPPPBBBTPPBBPPPBPBPBPBBPPBPPBBBPPBPPBBP,1,0,0,0,0,,error: '>' not supported between instances of 'NoneType' and 'int'
