Strategy,Parameters,Total Profit,Avg Profit per Line,Win Rate,Profitable Lines %,Max Drawdown,Avg Consecutive Wins,Avg Consecutive Losses,Avg Win Streak,Avg Loss Streak,Avg Risk-Reward,Sharpe Ratio,Sortino Ratio,Total Lines
hybrid_ensemble,"window_sizes=[4, 2, 10], pattern_length=5, streak_threshold=6",-25.399999999999995,-0.25399999999999995,54.0070424046851,51.0,-14.700000000000001,4.22,3.94,4.22,3.94,1.0577579365079364,-0.04726187436306085,-0.0746368407187839,100
hybrid_ensemble,"window_sizes=[4, 2, 10], pattern_length=6, streak_threshold=4",16.400000000000016,0.16400000000000017,54.618455134016045,53.0,-12.849999999999998,4.36,4.0,4.36,4.0,1.0577707570207568,0.03249885778036846,0.05648588660971793,100
hybrid_ensemble,"window_sizes=[4, 2, 10], pattern_length=6, streak_threshold=5",-4.799999999999994,-0.04799999999999994,54.255559683445234,51.0,-12.849999999999998,4.25,3.97,4.25,3.97,1.0583412698412697,-0.009148101890153538,-0.014796248234680457,100
hybrid_ensemble,"window_sizes=[4, 2, 10], pattern_length=6, streak_threshold=6",0.6500000000000199,0.006500000000000199,54.39375664591189,53.0,-12.849999999999998,4.26,3.96,4.26,3.96,1.0555079365079365,0.0012378603223845083,0.002003053257201543,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=3, streak_threshold=4",11.10000000000003,0.11100000000000029,54.58161825606045,52.0,-12.7,4.35,3.98,4.35,3.98,1.0477231379731378,0.02113714349350732,0.03434460516321021,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=3, streak_threshold=5",24.60000000000002,0.2460000000000002,54.80188426529279,54.0,-12.450000000000006,4.29,3.88,4.29,3.88,1.023376984126984,0.04602525810900901,0.07203248056717007,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=3, streak_threshold=6",24.85000000000002,0.2485000000000002,54.70464273265474,55.00000000000001,-12.450000000000006,4.28,3.87,4.28,3.87,1.020876984126984,0.04641789559148737,0.07157725894932354,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=4, streak_threshold=4",27.950000000000028,0.2795000000000003,54.800844761510916,53.0,-14.8,4.33,3.94,4.33,3.94,1.0326874236874235,0.053667911007098036,0.08966898833096293,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=4, streak_threshold=5",27.400000000000016,0.2740000000000002,54.826512688921255,53.0,-14.8,4.23,3.86,4.23,3.86,1.0229960317460318,0.05197558561076519,0.08426828465545293,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=4, streak_threshold=6",35.45000000000002,0.35450000000000015,54.81673895684423,56.00000000000001,-14.8,4.24,3.85,4.24,3.85,1.0129960317460318,0.06806135671653063,0.10965612009537155,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=5, streak_threshold=4",10.55000000000004,0.1055000000000004,54.51817471420536,52.0,-12.849999999999998,4.28,3.94,4.28,3.94,1.0601040903540901,0.02043788716665296,0.03645459156029507,100
hybrid_ensemble,"window_sizes=[4, 2, 12], pattern_length=5, streak_threshold=5",-2.4499999999999833,-0.024499999999999834,54.35172308337714,49.0,-12.849999999999998,4.21,3.91,4.21,3.91,1.0283412698412697,-0.00475953433126031,-0.007526433581814821,100
