side,size,result,pnl
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,40,L,-40
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,50,L,-50
B,70,L,-70
B,90,L,-90
P,110,W,110
B,90,W,85.5
P,70,L,-70
B,90,W,85.5
P,70,L,-70
B,90,L,-90
B,110,L,-110
B,130,W,123.5
B,110,W,104.5
B,90,W,85.5
B,80,L,-80
B,110,W,104.5
B,80,L,-80
B,110,W,104.5
B,50,L,-50
B,100,T,0.0
B,100,L,-100
B,150,L,-150
P,200,L,-200
B,250,W,237.5
P,200,L,-200
B,250,W,237.5
P,250,T,0.0
B,250,L,-250
B,350,W,332.5
B,150,L,-150
B,300,T,0.0
B,300,T,0.0
B,300,L,-300
B,450,W,427.5
B,150,L,-150
B,300,W,285.0
B,0,,0
