timestamp,duration,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe,all_outcomes_second_shoe
20250324_130728,13,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PPPBBP,216.0,PPPBBPBPPTPPBBPBBBPPBPBPBBBPBBBBPBPB,
20250324_134635,27,PPP,few cubes with bad streaks (2+ streaks),,BPBBBB,-190.0,BPBBBBBBPBPTPTBBTBTBPBBTPPBPPPPPBPPBPPBTPTBPBBBBPBPPPTPBPTBBBTB,
20250324_135111,4,BBB,"contradicting bias (BBB mode, 60.0% banker wins)",,PPPPBB,225.5,PPPPBBBBBBPBPTBPP,
20250324_143742,22,BBB,"only 1 cube value left, higher than 100 and in profit",,PPBPPP,429.5,PPBPPPTPBBBTBBBPPPBBTBTPPPBTPPPBBPBPTPBBPPPTBPTPPBPBPP,
20250324_145333,12,PPP,"only 1 cube value left, higher than 100 and in profit",B,BBPBBB,391.5,BBPBBBBPPBBTBPBTPBPBBPBBBBBBTPBTB,
20250324_151027,16,PPP,"only 1 cube value left, lower than 20",,BPBBBP,356.5,BPBBTBPPBPBBBTBPBPBPPBBPPPPBPBBPBTPPBBPPBBPB,
20250324_155658,11,PPP,"contradicting bias (PPP mode, 63.2% player wins)",B,BPBPBB,153.0,BTPBPBBPPTTBPBBPBBPPPPBPPPTBTP,
20250324_160123,3,BBB,"only 1 cube value left, lower than 20",,PBPPPB,17.5,TPBPPPBBTBPBBPP,
20250324_163817,14,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBBB,390.0,PBBBBBPPBPBTPPBPBBBBBPBPBPBBTBTPBPPBPBBB,
20250324_170043,21,PPP,"only 1 cube value left, higher than 100 and in profit",B,BBBPBP,339.5,BBBPBPBPBPTPBBPBBPPTBBPBBBTPBBPPPPPPPBPTBBBTPPTBBBPBB,
20250324_171947,18,BBB,few cubes with bad streaks (2+ streaks),,PPBPBP,313.0,PPBPBPPPBPPBPPPPBBPTBBPPBTPBPBPBBBPPPBBBBPTPBBPPP,
20250324_174012,18,PPP,"only 1 cube value left, lower than 20",B,PBPBBB,348.0,PBPBBBBBPBBBTPPPPPBBTBBPBPBPBPBBPBPPBPTTBBBPBBPBPB,
20250324_180844,28,BBB,Shoe finished,P,PBPPPP,-1756.5,PBPPPPPBPBPBPPBPBBBPTPBPBBPTPBBPBPPBBBPTPPPPTTBBBPBBPBBPBBBBBPPTBBPTBPP,
20250324_183136,21,PPP,few cubes with bad streaks (2+ streaks),,BBBPBP,178.0,BTBBPBPPBBPBBBBPPBTPBPBTTPPPBPTPPPBTPBTPBBPBBPBPPBB,
20250324_185505,22,BBB,few cubes with bad streaks (2+ streaks),,PPBPBP,372.0,PTPBPBPTBBPBPBBTPPBPBPPPBPBPBBBTPPTTBPPPBBBPPBBPPBPBPPP,
20250324_190944,11,BBB,"contradicting bias (BBB mode, 68.0% banker wins)",,BPPPBP,162.0,BPPPBPTBPPBPBPBBPBPPTBBBBPBBBBBBB,
20250324_194452,23,PPP,"only 1 cube value left, higher than 100 and in profit",,BBPBBB,323.5,BBPBBBPPBPTPPBBBBPBPPBPBPPBBPPBPTTBPPTBPPBBTBTBBBPBBPBPBB,
20250324_200601,20,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PPPBPP,222.0,PPPBPPBBBBBBBPTBBPPPBBPPBBBPBBPBBBBBBTBBBPPTBBPPBBBBTBPB,
20250324_201618,9,PPP,"only 1 cube value left, higher than 100 and in profit",,BBBBPP,416.0,BBBBPPBBBBPBPPBPBTBPBBBBBBBB,
20250324_203906,21,BBB,few cubes with bad streaks (2+ streaks),,PBPPPB,187.0,PBPPPBBPBBPPTPBBPPPBPBBPPBBBPPPPBBPPBBBTBPPBBBBPBTBTPP,
20250324_205322,13,BBB,few cubes with bad streaks (2+ streaks),,BBPPPP,352.0,TBBPPPPPPTPPBBPPPBBPBBPPPBBPPPBBBBBBPBBB,
