side,size,result,pnl
P,50,W,50
P,50,L,-50
P,60,W,60
P,50,W,50
P,40,W,40
P,40,W,40
P,40,W,40
P,40,T,0.0
P,40,L,-40
P,50,L,-50
P,60,W,60
P,50,W,50
P,40,L,-40
P,50,W,50
P,40,L,-40
P,50,L,-50
P,60,L,-60
B,70,W,66.5
P,60,W,60
B,60,L,-60
P,80,T,0.0
B,80,T,0.0
P,80,L,-80
B,100,W,95.0
P,80,L,-80
B,100,L,-100
P,120,W,120
B,100,W,95.0
P,80,W,80
P,60,T,0.0
P,60,W,60
P,50,L,-50
P,70,L,-70
P,90,L,-90
B,50,W,47.5
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,40,W,38.0
B,40,W,38.0
B,40,W,38.0
B,40,W,38.0
B,40,L,-40
B,50,L,-50
B,60,L,-60
P,70,L,-70
B,80,L,-80
P,90,L,-90
B,100,L,-100
B,110,L,-110
B,120,L,-120
P,130,L,-130
B,140,W,133.0
P,130,L,-130
B,140,L,-140
B,150,L,-150
B,160,W,152.0
B,150,T,0.0
B,150,W,142.5
B,150,W,142.5
B,140,W,133.0
B,130,L,-130
B,150,W,142.5
B,130,T,0.0
B,130,L,-130
B,150,W,142.5
B,130,T,0.0
B,130,W,123.5
B,120,W,114.0
B,130,W,123.5
B,130,W,123.5
P,,,0
