side,size,result,pnl
P,50,L,-50
P,50,L,-50
P,50,L,-50
B,50,W,47.5
P,60,L,-60
B,70,L,-70
P,80,L,-80
B,90,L,-90
P,100,W,100
B,90,T,0.0
P,90,L,-90
P,100,W,100
P,90,L,-90
P,100,L,-100
P,110,W,110
P,100,T,0.0
P,100,L,-100
P,110,W,110
P,100,L,-100
P,110,W,110
P,100,L,-100
P,110,L,-110
P,120,L,-120
B,130,L,-130
P,140,L,-140
B,150,W,142.5
P,140,T,0.0
B,140,L,-140
P,150,W,150
P,140,L,-140
P,150,T,0.0
P,150,L,-150
P,160,L,-160
B,170,T,0.0
P,170,T,0.0
B,170,L,-170
P,180,W,180
B,170,L,-170
P,180,W,180
B,170,L,-170
P,180,W,180
P,180,L,-180
P,200,W,200
P,180,L,-180
P,200,L,-200
P,220,W,220
P,200,L,-200
P,220,W,220
P,200,L,-200
P,220,T,0.0
P,220,W,220
P,200,T,0.0
P,200,W,200
P,180,W,180
P,180,T,0.0
P,180,W,180
P,170,L,-170
P,200,L,-200
P,230,W,230
P,200,,0
