side,size,result,pnl
P,50,W,50
P,50,L,-50
P,60,W,60
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,W,60
P,50,L,-50
P,60,L,-60
P,70,T,0.0
P,70,L,-70
B,80,L,-80
P,90,W,90
B,80,L,-80
P,90,L,-90
P,100,L,-100
P,110,L,-110
B,120,L,-120
P,130,W,130
B,120,L,-120
P,130,W,130
P,120,W,120
P,110,L,-110
P,120,W,120
P,110,W,110
P,100,L,-100
P,110,L,-110
P,120,W,120
P,120,T,0.0
P,120,W,120
P,110,L,-110
P,130,W,130
P,110,W,110
P,100,W,100
P,90,L,-90
P,110,W,110
P,90,W,90
P,90,W,90
P,80,T,0.0
P,80,L,-80
P,110,L,-110
P,140,W,140
P,110,L,-110
P,140,W,140
P,120,W,120
P,90,L,-90
P,130,L,-130
P,170,W,170
B,50,L,-50
B,50,L,-50
B,50,W,47.5
B,60,L,-60
B,70,W,66.5
B,60,L,-60
B,70,W,66.5
B,60,L,-60
B,70,L,-70
B,80,W,76.0
B,70,L,-70
B,80,T,0.0
B,80,L,-80
B,90,L,-90
P,100,W,100
B,90,L,-90
P,100,W,100
B,90,L,-90
P,100,T,0.0
B,100,L,-100
P,110,T,0.0
B,110,T,0.0
P,110,L,-110
B,120,L,-120
P,130,T,0.0
B,130,W,123.5
P,120,L,-120
B,130,L,-130
B,140,L,-140
B,150,W,142.5
B,140,L,-140
B,150,T,0.0
B,150,W,142.5
B,140,W,133.0
B,130,T,0.0
B,130,W,123.5
B,130,T,0.0
B,130,W,123.5
B,120,T,0.0
B,120,L,-120
B,140,L,-140
B,160,W,152.0
B,140,L,-140
B,160,L,-160
B,180,W,171.0
B,160,T,0.0
B,160,L,-160
B,180,L,-180
B,200,W,190.0
B,180,W,171.0
B,160,W,152.0
B,150,L,-150
B,180,W,171.0
B,150,W,142.5
B,130,L,-130
B,160,L,-160
B,190,L,-190
P,220,W,220
B,200,L,-200
P,240,T,0.0
B,240,W,228.0
P,200,,0
