side,size,result,pnl
B,50,L,-50
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,L,-50
B,60,L,-60
B,70,W,66.5
B,60,L,-60
B,70,W,66.5
B,60,W,57.0
B,50,L,-50
B,60,W,57.0
B,50,L,-50
B,60,W,57.0
B,60,L,-60
B,70,W,66.5
B,60,W,57.0
B,50,W,47.5
B,50,W,47.5
B,50,L,-50
B,70,L,-70
B,90,W,85.5
B,70,W,66.5
B,50,L,-50
B,70,L,-70
B,90,L,-90
P,110,T,0.0
B,110,W,104.5
P,90,L,-90
B,110,T,0.0
P,110,T,0.0
B,110,L,-110
P,130,W,130
B,110,L,-110
P,130,L,-130
B,150,L,-150
P,170,W,170
B,150,W,142.5
B,140,W,133.0
B,120,W,114.0
B,100,W,95.0
B,50,L,-50
