side,size,result,pnl
P,50,L,-50
P,50,W,50
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,L,-60
P,70,L,-70
P,80,W,80
P,70,L,-70
P,80,W,80
P,70,L,-70
P,80,W,80
P,70,W,70
P,60,L,-60
P,70,L,-70
P,80,W,80
P,70,W,70
P,60,W,60
P,60,T,0.0
P,60,L,-60
P,70,W,70
P,60,L,-60
P,70,W,70
P,60,W,60
P,60,W,60
P,50,L,-50
P,70,W,70
P,50,T,0.0
P,50,W,50
P,50,W,50
P,50,L,-50
P,70,L,-70
P,90,W,90
P,80,W,80
P,30,L,-30
P,60,L,-60
P,90,L,-90
B,120,W,114.0
P,90,L,-90
B,120,W,114.0
B,50,L,-50
B,50,W,47.5
B,50,W,47.5
B,50,W,47.5
B,40,W,38.0
B,40,L,-40
B,50,W,47.5
B,40,W,38.0
B,40,L,-40
B,50,W,47.5
B,40,L,-40
B,50,T,0.0
B,50,W,47.5
B,40,W,38.0
B,40,W,38.0
B,40,T,0.0
B,40,W,38.0
B,40,T,0.0
B,40,W,38.0
B,30,L,-30
B,50,L,-50
B,70,W,66.5
B,50,W,47.5
B,50,W,47.5
B,50,W,47.5
B,40,L,-40
B,50,L,-50
B,60,L,-60
P,70,W,70
B,60,L,-60
P,70,L,-70
B,80,W,76.0
P,70,W,70
B,60,W,57.0
B,50,L,-50
B,60,L,-60
B,70,L,-70
P,80,W,80
B,70,W,66.5
P,60,L,-60
B,70,T,0.0
P,70,L,-70
B,80,L,-80
B,90,W,85.5
B,80,L,-80
B,90,L,-90
B,100,L,-100
