side,size,result,pnl
P,50,T,0.0
P,50,L,-50
B,50,W,47.5
P,50,L,-50
B,60,T,0.0
P,60,T,0.0
B,60,L,-60
P,70,L,-70
B,80,W,76.0
P,70,L,-70
B,80,L,-80
P,90,W,90
B,80,W,76.0
P,70,W,70
P,60,W,60
P,50,L,-50
P,60,W,60
P,60,W,60
P,50,W,50
P,50,T,0.0
P,50,T,0.0
P,50,L,-50
P,60,W,60
P,50,W,50
P,50,W,50
P,50,W,50
P,40,L,-40
P,60,W,60
P,50,L,-50
P,70,W,70
P,50,L,-50
P,70,W,70
P,50,W,50
B,50,L,-50
B,50,W,47.5
B,50,W,47.5
B,50,W,47.5
B,40,W,38.0
B,40,L,-40
B,50,L,-50
B,60,L,-60
P,70,W,70
B,60,W,57.0
P,50,L,-50
B,60,L,-60
P,70,W,70
B,60,W,57.0
B,50,L,-50
B,60,T,0.0
B,60,L,-60
B,70,W,66.5
B,60,L,-60
B,70,W,66.5
B,60,L,-60
B,70,W,66.5
B,70,L,-70
B,90,L,-90
B,110,W,104.5
B,90,W,85.5
B,70,L,-70
B,90,W,85.5
B,70,W,66.5
B,60,W,57.0
B,60,W,57.0
B,60,W,57.0
B,50,L,-50
P,50,W,50
B,50,W,47.5
P,50,L,-50
B,60,W,57.0
P,50,W,50
B,40,W,38.0
B,40,L,-40
B,50,L,-50
B,60,W,57.0
B,50,T,0.0
B,50,L,-50
B,60,T,0.0
B,60,W,57.0
B,50,L,-50
B,60,T,0.0
B,60,W,57.0
B,50,W,47.5
B,50,W,47.5
B,40,L,-40
B,50,L,-50
B,60,T,0.0
B,60,W,57.0
B,60,L,-60
B,80,W,76.0
B,60,W,57.0
B,50,L,-50
B,70,L,-70
B,90,W,85.5
B,70,L,-70
B,90,L,-90
B,110,L,-110
P,130,W,130
B,110,W,104.5
P,90,T,0.0
B,90,L,-90
P,110,W,110
B,100,L,-100
B,50,L,-50
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,40,L,-40
B,50,W,47.5
B,50,L,-50
B,70,W,66.5
B,50,W,47.5
B,40,W,38.0
B,40,W,38.0
B,50,W,47.5
B,50,W,47.5
B,40,W,38.0
B,40,L,-40
B,50,L,-50
B,60,W,57.0
B,50,L,-50
B,60,W,57.0
B,50,W,47.5
B,40,W,38.0
B,40,L,-40
B,50,W,47.5
B,40,W,38.0
B,40,W,38.0
B,40,W,38.0
B,40,W,38.0
B,30,W,28.5
B,,,0
